activity_id,activity_name,duration,difficulty,ratings,location,description
101,"Berjalan santai di taman",30,Easy,4.5,"Taman Kota","Berjalan santai di taman setiap pagi"
102,"Menggambar doodle",15,Medium,4.0,"Rumah","Menggambar doodle setiap pagi sebelum memulai hari"
103,"Mengajak teman untuk kopi sore",60,Easy,5.0,"Kafe lokal","Mengajak teman dekat untuk kopi sore hari"
104,"Yoga ringan di rumah",20,Medium,4.2,"Rumah","Melakukan yoga ringan di rumah setiap pagi"
105,"Mengikuti kelas lukis online",90,Medium,4.7,"Online","Mengikuti kelas lukis online setiap minggu"
106,"Bermain tenis meja",45,Medium,4.3,"Pusat Rekreasi","Bermain tenis meja dengan teman di pusat rekreasi"
107,"Memasak bersama keluarga",120,Easy,4.8,"Rumah","Memasak hidangan spesial bersama keluarga di rumah"
108,"Menonton film di bioskop",120,Easy,4.5,"Bioskop","Menonton film terbaru di bioskop lokal"
109,"Mendaki bukit kecil",180,Hard,4.7,"Area Perbukitan","Mendaki bukit kecil untuk menikmati pemandangan alam"
110,"Belajar alat musik baru",60,Medium,4.6,"Rumah","Belajar memainkan alat musik baru seperti gitar atau piano"
111,"Bermain bowling",90,Medium,4.4,"Arena Bowling","Bermain bowling bersama teman di arena bowling"
112,"Berkunjung ke museum",120,Easy,4.5,"Museum Kota","Mengunjungi museum untuk menikmati pameran seni dan sejarah"
113,"Bermain video game",60,Medium,4.2,"Rumah","Bermain video game favorit untuk mengisi waktu luang"
114,"Mengikuti kelas tari",60,Medium,4.6,"Studio Tari","Mengikuti kelas tari seperti salsa atau hip-hop di studio tari"
115,"Menghadiri konser musik",150,Easy,4.8,"Gedung Konser","Menghadiri konser musik artis favorit di gedung konser"
116,"Berkemah di alam terbuka",720,Hard,4.7,"Perkemahan","Menghabiskan akhir pekan dengan berkemah di alam terbuka"
117,"Berpartisipasi dalam maraton",240,Hard,4.5,"Kota","Berpartisipasi dalam acara lari maraton tahunan"
118,"Mengikuti workshop kerajinan",120,Medium,4.6,"Pusat Kegiatan","Mengikuti workshop untuk belajar membuat kerajinan tangan"
